ID,logFC,fdr,pseudo_t,Rank_FC,Rank_t,Normed_FC,Normed_t
ULK4,0.258802771,0.822554912,0.08483509984296972,0.674116891457932,0.587732819524727,48.859889349714905,NA
ESRRB,0.211239906,0.822583801,0.08481984722847606,0.6479768786127168,0.5876685934489403,48.6112204892796,NA
GM9887,0.266384795,0.822650738,0.0847845083523923,0.6786769428387925,0.5876043673731535,48.89952979752799,NA
OPLAH,0.109057021,0.822690637,0.08476344534893279,0.5766859344894028,0.5875401412973668,48.07698644831211,NA
POGK,0.134892383,0.822956673,0.08462302890964837,0.5967244701348747,0.5874759152215799,48.212059262522814,NA
MTCH2,0.078525361,0.823091659,0.08455179931823728,0.5546563904945407,0.5874116891457932,47.917360380803395,NA
DTNA,0.264135842,0.823247231,0.08446972136727576,0.6770712909441233,0.5873474630700064,48.887771788844475,NA
NF2,0.08117734,0.823703922,0.08422886615313396,0.5562620423892101,0.5872832369942197,47.93122549586381,NA
HDAC9,0.208873189,0.824148746,0.08399439784530283,0.6459216441875402,0.5872190109184329,48.59884678514377,NA
RNF32,0.256057542,0.824211704,0.0839612226838811,0.6718047527296083,0.5871547848426462,48.8455367036524,NA
WBP1L,0.13429626,0.824377072,0.08387409554681724,0.596403339755941,0.5870905587668593,48.208942603610666,NA
POC1A,0.134812412,0.824434979,0.08384359032269706,0.596660244059088,0.5870263326910726,48.21164115698107,NA
CFL1,0.093132966,0.824734646,0.08368576092301858,0.5649325626204239,0.5869621066152858,47.99373207306876,NA
CPE,0.172337509,0.825416779,0.08332670706867513,0.6219653179190752,0.586897880539499,48.40783041321519,NA
GM43848,0.26291993,0.825524509,0.08327002843940842,0.6764290301862557,0.5866409762363519,48.88141474009585,NA
INSIG1,0.179928453,0.825524509,0.08327002843940842,0.6265253692999357,0.5866409762363519,48.44751749670161,NA
MECP2,0.114695373,0.825524509,0.08327002843940842,0.5813744380218369,0.5866409762363519,48.10646496199234,NA
PHOSPHO2,0.08138079,0.825524509,0.08327002843940842,0.5564547206165703,0.5866409762363519,47.932289176103765,NA
SLC9A1,0.100027391,0.825524509,0.08327002843940841,0.5698779704560052,0.5865767501605652,48.02977760582013,NA
B2M,0.069155535,0.825553024,0.08325502743926738,0.5469492614001285,0.5865125240847784,47.86837292065151,NA
BAZ2B,0.126725239,0.825558886,0.0832519436576805,0.5901734104046242,0.5864482980089917,48.169359681841726,NA
YY2,0.237223807,0.825678404,0.08318907442829343,0.6615928066795119,0.5862556197816313,48.747069897243854,NA
DMTN,0.222685438,0.825678404,0.08318907442829343,0.6548490687219011,0.5862556197816313,48.671060185637586,NA
ZFP11,0.18244538,0.825678404,0.08318907442829343,0.6276172125883108,0.5862556197816313,48.46067653093743,NA
USP53,0.134741778,0.825731189,0.08316131119580136,0.5965960179833012,0.5861913937058446,48.2112718672781,NA
FAM241A,0.141541959,0.82595217,0.08304510147684385,0.6019910083493899,0.5859987154784843,48.24682467218217,NA
COA7,0.089942901,0.82595217,0.08304510147684385,0.5628773281952473,0.5859987154784843,47.97705372898111,NA
MRPS23,0.084035621,0.82595217,0.08304510147684385,0.5584457289659602,0.5859987154784843,47.94616920203193,NA
RNASE10,0.261689801,0.826380386,0.08281999927287062,0.6755940912010276,0.5859344894026975,48.87498336182167,NA
MDFI,0.209490049,0.8265049,0.08275456733554258,0.6465639049454078,0.5858702633269107,48.60207186153998,NA
EIF3J2,0.103981279,0.826676536,0.08266438900866258,0.572703917790623,0.5858060372511239,48.050449380391505,NA
TPGS1,0.083673197,0.826678436,0.08266339084489303,0.557931920359666,0.5857418111753372,47.94427437162013,NA
NEIL2,0.252426929,0.82683629300000006,0.0825804687843444,0.6698779704560052,0.5854849068721901,48.82655508012338,NA
SNAP25,0.250911652,0.82683629300000006,0.0825804687843444,0.6689788053949903,0.5854849068721901,48.81863288694107,NA
GRK3,0.121276052,0.82683629300000006,0.0825804687843444,0.5858702633269107,0.5854849068721901,48.14087016335733,NA
GIMAP9,0.112826474,0.82683629300000006,0.0825804687843444,0.5798972382787412,0.5854849068721901,48.09669395714226,NA
GM31814,0.260345599,0.827113275,0.08243500878043813,0.6748233782915863,0.5852922286448298,48.86795558543489,NA
GM15743,0.259619291,0.827113275,0.08243500878043813,0.6745022479126526,0.5852922286448298,48.864158291418114,NA
AARD,0.2191646,0.827113275,0.08243500878043813,0.6527938342967244,0.5852922286448298,48.652652489355255,NA
TRAF6,0.104362008,0.827139855,0.0824210525761298,0.5732177263969171,0.5852280025690431,48.05243991326973,NA
MAPKAPK5,0.068434932,0.828152302,0.08188978660197334,0.546499678869621,0.5851637764932562,47.864605453598465,NA
WNK2,0.20642459,0.828163877,0.08188371655485085,0.6442517662170841,0.5850995504174695,48.58604498434827,NA
RASAL1,0.250962394,0.828269989,0.08182807430184857,0.6691072575465639,0.5849068721901092,48.818898177001216,NA
LMBRD1,0.092191273,0.828269989,0.08182807430184857,0.564354527938343,0.5849068721901092,47.98880870007199,NA
TMEM8,0.087527213,0.828269989,0.08182807430184857,0.5606294155427103,0.5849068721901092,47.964423993953005,NA
VIPAS39,0.094614271,0.828278419,0.08182365414429113,0.566024405908799,0.5848426461143225,48.00147665334808,NA
GM26536,0.257990265,0.828611768,0.08164890311451596,0.673281952472704,0.5844572896596018,48.8556413940647,NA
ID4,0.180088852,0.828611768,0.08164890311451596,0.6266538214515093,0.5844572896596018,48.448356097079134,NA
BIN1,0.126539739,0.828611768,0.08164890311451596,0.5899165061014772,0.5844572896596018,48.16838984805205,NA
IL6RA,0.122342641,0.828611768,0.08164890311451596,0.5869621066152858,0.5844572896596018,48.146446519432224,NA
ELK4,0.115281275,0.828611768,0.08164890311451596,0.5816955684007707,0.5844572896596018,48.10952818332407,NA
RPL11,0.058138483,0.828611768,0.08164890311451596,0.5385356454720617,0.5844572896596018,47.810773409642316,NA
BTNL9,0.125341771,0.828898216,0.08149879507511763,0.5892100192678227,0.5843288375080282,48.162126614384405,NA
GM10069,0.117555393,0.828898216,0.08149879507511763,0.5834938985228002,0.5843288375080282,48.12141776002547,NA
TEX9,0.242017716,0.828949668,0.08147183805462653,0.6640976236351959,0.5842646114322415,48.77213348178739,NA
EEF1A1,0.063761319,0.828995138,0.08144801654980245,0.5432241490044958,0.5842003853564547,47.84017080234636,NA
GM37985,0.256706781,0.829194984,0.08134333372206255,0.6723185613359024,0.5840077071290944,48.848931064405896,NA
BACE1,0.088779143,0.829194984,0.08134333372206255,0.5617212588310854,0.5840077071290944,47.97096935253148,NA
TPP2,0.072403203,0.829194984,0.08134333372206255,0.549582530507386,0.5840077071290944,47.885352425578986,NA
DIEXF,0.090424995,0.829726975,0.08106479046402836,0.5633911368015414,0.5839434810533076,47.97957421982207,NA
PTGDS,0.254862315,0.82990952,0.0809692535356015,0.671034039820167,0.5838792549775209,48.839287800520694,NA
AHSA1,0.089131517,0.829916313,0.0809656987500849,0.5619781631342325,0.5838150289017341,47.97281163938757,NA
RBM3,0.100488954,0.829979879,0.08093243599162661,0.5700706486833654,0.5837508028259474,48.0321907561892,NA
NEXN,0.231136582,0.830146771,0.08084511702121196,0.658766859344894,0.5836865767501606,48.715244579236554,NA
ULBP1,0.240093308,0.830539068,0.08063993381131737,0.6633911368015414,0.583558124598587,48.76207226397866,NA
MAP4K5,0.100373637,0.830539068,0.08063993381131737,0.5700064226075787,0.583558124598587,48.03158785417776,NA
GM42636,0.246959475,0.830578051,0.08061954981599577,0.666859344894027,0.5834296724470135,48.79797005784471,NA
NIPBL,0.086851701,0.830578051,0.08061954981599577,0.5602440590879897,0.5834296724470135,47.96089227231996,NA
WIPF3,0.138604192,0.830878974,0.08046223103153088,0.599421965317919,0.5833654463712267,48.231465396156345,NA
TLR3,0.138912719,0.831059516,0.08036787327384969,0.5998715478484264,0.58330122029544,48.23307844149126,NA
ARMH4,0.254686592,0.83110084,0.08034627874464673,0.6708413615928067,0.5832369942196531,48.83836908298418,NA
RECQL,0.130566827,0.831119788,0.08033637751769183,0.5929351316634554,0.5831727681438664,48.189444327924804,NA
