Gene,MDA468_B2_24h_a,MDA468_B2_24h_b,MDA468_B3_24h_a,MDA468_B3_24h_b,MDA468_B6_24h_a,MDA468_B6_24h_b,MDA468_D_24h_a,MDA468_D_24h_b,MDA468_J_24h_a,MDA468_J_24h_b,MDA468_JB2_24h_a,MDA468_JB2_24h_b,MDA468_JB3_24h_a,MDA468_JB3_24h_b,MDA468_JB6_24h_a,MDA468_JB6_24h_b
GTF2E1,23,13,17,21,9,19,12,14,17,15,8,18,11,9,5,14
GTF2E2,108,119,109,150,122,186,59,100,117,129,115,130,126,111,73,133
GTF2F1,176,145,234,320,258,369,112,152,107,147,212,330,218,186,124,233
GTF2F2,67,54,115,152,115,158,32,51,29,51,68,103,76,78,50,93
GTF2F2P1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GTF2F2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2H1,49,32,33,58,42,53,18,33,20,28,25,27,19,16,18,28
GTF2H2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
GTF2H2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2H2C,1,1,0,1,0,2,0,1,0,1,0,1,1,0,2,0
GTF2H3,102,79,99,104,99,126,74,99,44,72,44,61,43,42,37,40
GTF2H4,141,95,128,108,117,140,77,118,57,92,64,73,43,81,51,83
GTF2H5,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
GTF2I,8,12,6,11,5,4,13,17,7,9,4,3,2,3,1,6
GTF2IP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2IP11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2IP12,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
GTF2IP13,11,14,13,21,12,15,18,15,7,11,14,10,12,10,9,9
GTF2IP14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2IP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2IP20,14,14,17,25,27,18,10,13,3,8,19,24,12,17,7,26
GTF2IP22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2IP23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2IP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2IP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2IP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2IP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2IP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2IP8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2IP9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2IRD1,94,96,100,129,78,110,64,116,40,60,37,57,48,39,25,48
GTF2IRD1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2IRD2,6,3,5,2,5,1,3,7,2,6,2,3,6,2,2,0
GTF2IRD2B,11,5,7,7,6,1,12,7,7,8,1,3,1,1,2,3
GTF2IRD2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
